Movie_Title,Movie_ID,Budget,Cast,Crew,Studios,Genre,Keywords,Languages,Countries,Release_Data,Runtime,Gross_worldwide,Rating,Rating_Count,ListOfCertificate,Release_Year,Release_Month,Release_Day,GenreRank,SpecialMonth,CastsRank,NumLeadActors,HasTop50Actors,NumStudios,StudioRank,NumTopStudios,HasTopStudio,CountryRank,LanguageRank,keywordRank,cerRank
Cat&apos;s Eye,88889,7000000,"['Drew Barrymore', 'James Woods', 'Alan King', 'Kenneth McMillan', 'Robert Hays', 'Candy Clark', 'James Naughton', 'Tony Munafo', 'Court Miller', 'Russell Horton', 'Patricia Benson', ""Mary D'Arcy"", 'James Rebhorn', 'Jack Dillon', 'Susan Hawes', 'Shelly Burch', 'Sal Richards', 'Jesse Doran']","['Stephen King', 'Lewis Teague']","['Dino De Laurentiis Company', 'Famous Films (II)', 'International Film Corporation (II)']","['Comedy', 'Horror', 'Thriller']","['cat', 'quitting smoking', 'record player', 'monster', 'hosing down']",['English'],"['United States', 'Netherlands']",1985-04-12,94,13086298,6.3,24000,['PG-13'],1985,4,12,11.0,0,5967,0,0,3,385,0,0,4,1,159,4
Whiplash,2582802,3300000,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser', 'Austin Stowell', 'Nate Lang', 'Chris Mulkey', 'Damon Gupton', 'Suanne Spoke', 'Max Kasch', 'Charlie Ian', 'Jayson Blair', 'Kofi Siriboe', 'Kavita Patil', 'C.J. Vana', 'Tarik Lowe', 'Tyler Kimball', 'Rogelio Douglas Jr.']",['Damien Chazelle'],"['Bold Films', 'Blumhouse Productions', 'Right of Way Films']","['Drama', 'Music']","['drummer', 'music school', 'new york city', 'conservatory', 'drum solo']",['English'],['United States'],2014-10-15,106,49396747,8.5,778000,['R'],2014,10,15,3.5,0,7682,0,0,3,526,0,0,4,1,90,1
Hillary&apos;s America: The Secret History of the Democratic Party,5646136,5000000,"[""Dinesh D'Souza"", 'Jonah Goldberg', 'David Guyette', 'Andrea Cohen', 'Peter Schweizer', 'Mikaela Krantz', 'Carol Swain', 'Rebekah Turner', 'Jayvaugn Brown', 'Richard L. Olsen', 'Stuart Glass', 'Marc Jeffreys', 'Michael Clemmons', 'Howard Goldthwaite', 'Stephen Loftin', 'Mercedes Peterson', 'Gidget Taylor', 'Don Taylor']","['Bruce Schooley', ""Dinesh D'Souza""]","[""D'Souza Media""]","['Documentary', 'Biography', 'History']","['worst picture razzie winner', 'right wing politics', 'revisionist history', 'capitalist', 'conservative morals']",['English'],['United States'],2016-07-22,106,13099931,5.3,7200,['PG-13'],2016,7,22,1.6666666666666667,1,0,0,0,1,10,0,0,4,1,0,4
The Evil That Men Do,87222,4600000,"['Charles Bronson', 'Theresa Saldana', 'Joseph Maher', 'José Ferrer', 'René Enríquez', 'John Glover', 'Raymond St. Jacques', 'Antoinette Bower', 'Enrique Lucero', 'Jorge Luke', 'Mischa Hausserman', 'Roger Cudney', 'Constanza Hool', 'Joe Seneca', 'Jorge Zepeda', 'Conrad Hool', 'Ernesto Gómez Cruz', 'Angélica Aragón']","['John Crowther', 'Fred A. Wyler', 'J. Lee Thompson', 'R. Lance Hill']","['Capricorn', 'Capricorn Company', 'Incorporated Television Company (ITC)']","['Action', 'Drama', 'Thriller']","['female frontal nudity', 'lesbian sex', 'female pubic hair', 'older woman younger girl sex', 'older woman younger woman sex']",['English'],"['Mexico', 'United States', 'United Kingdom']",1984-06-01,90,13102025,6.0,3900,['R'],1984,6,1,10.333333333333334,1,3199,0,0,3,132,0,0,7,1,6,1
Frailty,264616,11000000,"['Bill Paxton', 'Matthew McConaughey', 'Powers Boothe', ""Matt O'Leary"", 'Jeremy Sumpter', 'Luke Askew', 'Levi Kreis', 'Derk Cheetwood', 'Missy Crider', 'Alan Davidson', 'Cynthia Ettinger', 'Vincent Chase', 'Gwen McGee', 'Edmond Scott Ratliff', 'Rebecca Tilney', 'Blake King', 'Brad Berryhill', 'Greg Serano']","['Brent Hanley', 'Bill Paxton']","['David Kirschner Productions', 'American Entertainment', 'Cinerenta Medienbeteiligungs KG']","['Crime', 'Drama', 'Thriller']","['plot twist', 'fbi agent', 'demon', 'religious fanatic', 'rose garden']",['English'],"['United States', 'Canada', 'Germany']",2002-04-12,100,17423030,7.2,82000,['R'],2002,4,12,7.0,0,5910,0,0,3,208,0,0,5,1,0,1
Rosewood,120036,25000000,"['Jon Voight', 'Ving Rhames', 'Don Cheadle', 'Bruce McGill', 'Loren Dean', 'Esther Rolle', 'Elise Neal', 'Robert Patrick', 'Michael Rooker', 'Catherine Kellner', 'Akosua Busia', 'Paul Benjamin', 'Kevin Jackson', 'Mark Boone Junior', 'Muse Watson', 'Badja Djola', 'Kathryn Meisle', 'Jaimz Woolvett']","['John Singleton', 'Gregory Poirier']","['Warner Bros.', 'Peters Entertainment', 'New Deal Productions']","['Action', 'Drama', 'History']","['train station', 'african american', 'lynch mob', 'death', 'manhunt']",['English'],['United States'],1997-02-21,140,13130349,7.2,8000,['R'],1997,2,21,6.666666666666667,0,18505,1,0,3,406,1,0,4,1,120,1
Dr. T &amp; the Women,205271,23000000,"['Richard Gere', 'Helen Hunt', 'Farrah Fawcett', 'Laura Dern', 'Shelley Long', 'Tara Reid', 'Kate Hudson', 'Liv Tyler', 'Robert Hays', 'Matt Malloy', 'Andy Richter', 'Lee Grant', 'Janine Turner', 'Holly Pelham', 'Jeanne Evans', 'Ramsey Williams', 'Dorothy Deavers', 'Ellen Locy']","['Robert Altman', 'Anne Rapp']","['Artisan Entertainment', 'Sandcastle 5 Productions']","['Comedy', 'Drama', 'Romance']","['gynecologist', 'public nudity', 'vagina', 'cheerleader', 'lesbian kiss']","['English', 'German', 'Spanish']","['United States', 'Germany']",2000-10-13,122,22844291,4.6,19000,['R'],2000,10,13,6.666666666666667,0,12714,0,0,2,159,0,0,4,6,0,1
Jason X,211443,11000000,"['Kane Hodder', 'Lexa Doig', 'Jeff Geddis', 'David Cronenberg', 'Markus Parilo', 'Jonathan Potts', 'Lisa Ryder', 'Dov Tiefenbach', 'Chuck Campbell', 'Melyssa Ade', 'Boyd Banks', 'Barna Moricz', 'Dylan Bierk', 'Todd Farmer', 'Peter Mensah', 'Philip Williams', 'Melody Johnson', 'Kristi Angus']","['James Isaac', 'Victor Miller', 'Todd Farmer']","['New Line Cinema', 'Crystal Lake Entertainment', 'Friday X Productions']","['Action', 'Horror', 'Sci-Fi', 'Thriller']","['female doctor', 'autopsy', 'jason voorhees character', 'serial teen murderer', 'murder by machete']",['English'],"['Canada', 'United States']",2002-04-16,92,17077882,4.4,55000,['R'],2002,4,16,13.25,0,506,0,0,3,467,0,0,5,1,0,1
The Peanut Butter Falcon,4364194,6200000,"['Zack Gottsagen', 'Ann Owens', 'Dakota Johnson', 'Bruce Dern', 'Shia LaBeouf', 'Thomas Haden Church', 'Rob Thomas', 'Jon Bernthal', 'Tim Zajaros', 'John Hawkes', 'Yelawolf', 'Jonathan D. Williams', 'Deja Dee', 'Lee Spencer', 'Mark Helms', 'Michael Berthold', 'Bruce Henderson', 'Wayne Dehart']","['Tyler Nilson', 'Michael Schwartz']","['Armory Films', '1993', 'Lucky Treehouse']","['Adventure', 'Comedy', 'Drama']","['down syndrome', 'wrestling', 'friendship', 'bare chested male', 'loss of loved one']",['English'],['United States'],2019-08-23,97,133031473,7.6,85000,['PG-13'],2019,8,23,10.666666666666666,0,12411,0,0,3,132,0,0,4,1,126,4
Lone Star,116905,5000000,"['Chris Cooper', 'Elizabeth Peña', 'Stephen Mendillo', 'Stephen J. Lang', 'Oni Faida Lampley', 'Eleese Lester', 'Joe Stevens', 'Gonzalo Castillo', 'Richard Coca', 'Clifton James', 'Tony Frank', 'Miriam Colon', 'Kris Kristofferson', 'Jeff Monahan', 'Matthew McConaughey', 'Joe Morton', 'LaTanya Richardson Jackson', 'Eddie Robinson']",['John Sayles'],"['Columbia Pictures', 'Castle Rock Entertainment', 'Rio Dulce']","['Drama', 'Mystery']","['neo western', 'father son relationship', 'family history', 'told in flashback', 'interracial relationship']","['English', 'Spanish']",['United States'],1996-06-21,135,12408986,7.4,29000,['R'],1996,6,21,7.0,1,11621,0,0,3,592,1,0,4,4,116,1
Body of Evidence,106453,30000000,"['Madonna', 'Willem Dafoe', 'Joe Mantegna', 'Anne Archer', 'Michael Forest', 'Charles Hallahan', 'Mark Rolston', 'Richard Riehle', 'D. Scot Douglas', 'Mario DePriest', 'John DeLay', 'Ross Huffman-Kerr', 'Mark C. Vincent', 'Frank Roberts', 'Julianne Moore', 'Aaron Corcoran', 'Timi Prulhiere', 'Corey Brunish']","['Brad Mirman', 'Uli Edel']","['Constantin Film', 'Dino De Laurentiis Company']","['Drama', 'Thriller']","['erotic thriller', 'female nudity', 'videotaped sex', 'bare breasts', 'sex with a handcuffed woman']",['English'],"['Germany', 'United States']",1993-01-15,99,13273595,4.5,15000,['R'],1993,1,15,7.5,0,13767,0,0,2,383,0,0,4,1,52,1
The Rum Diary,376136,45000000,"['Johnny Depp', 'Giovanni Ribisi', 'Aaron Eckhart', 'Michael Rispoli', 'Amber Heard', 'Richard Jenkins', 'Amaury Nolasco', 'Marshall Bell', 'Bill Smitrovich', 'Julian Holloway', 'Bruno Irizarry', 'Enzo Cilenti', 'Aaron Lustig', 'Tisuby González', 'Natalia Rivera', 'Karen Austin', 'Julio Ramos Velez', 'Rafael Alvarez']","['Hunter S. Thompson', 'Bruce Robinson']","['GK Films', 'Infinitum Nihil', 'FilmEngine']","['Comedy', 'Drama']","['based on novel', 'journalist', 'puerto rico', 'san juan puerto rico', 'newspaper']","['English', 'Spanish', 'German']","['United States', 'United Kingdom']",2011-10-28,119,30134958,6.2,101000,['R'],2011,10,28,6.5,0,17597,0,0,3,559,1,0,7,6,137,1
Sugar &amp; Spice,186589,11000000,"['Marla Sokoloff', 'Marley Shelton', 'Melissa George', 'Mena Suvari', 'Rachel Blanchard', 'Alexandra Holden', 'Sara Marsh', 'James Marsden', 'Sean Young', 'W. Earl Brown', 'Adam Busch', 'Jake Hoffman', 'Nate Maher', 'David Belenky', 'Kevin Kling', 'Dave Quimby', 'Jacy King', 'Wiley Harker']","['Mandy Nelson', 'Francine McDougall']",['New Line Cinema'],"['Comedy', 'Crime']","['dream girl', 'generation y', 'seductive behavior', 'attempted seduction', 'title directed by female']",['English'],['United States'],2001-01-26,81,16923761,5.7,14000,['PG-13'],2001,1,26,8.0,0,5643,0,0,1,274,0,0,4,1,16,4
The Entity,82334,9000000,"['Barbara Hershey', 'Ron Silver', 'David Labiosa', 'George Coe', 'Margaret Blye', 'Jacqueline Brookes', 'Richard Brestoff', 'Michael Alldredge', 'Raymond Singer', 'Allan Rich', 'Natasha Ryan', 'Melanie Gaffin', 'Alex Rocco', 'Sully Boyar', 'Tom Stern', 'Curt Lowens', 'Paula Victor', 'Lee Wilkof']","['Frank De Felitta', 'Sidney J. Furie']",['American Cinema Productions'],"['Drama', 'Horror']","['based on novel', 'rape', 'parapsychologist', 'female frontal nudity', 'lightning']",['English'],['United States'],1983-02-04,125,13277558,6.7,16000,['R'],1983,2,4,6.0,0,2271,0,0,1,156,0,0,4,1,137,1
Chaos Walking,2076822,125000000,"['Tom Holland', 'Daisy Ridley', 'Demián Bichir', 'David Oyelowo', 'Kurt Sutter', 'Cynthia Erivo', 'Bethany Anne Lind', 'Mads Mikkelsen', 'Nick Jonas', 'Ray McKinnon', 'Vincent Leclerc', 'Blane Crockarell', 'François Gauthier', 'Tyrone Benskin', 'Frank Fontaine', 'Don Jordan', 'Patrick Garrow', 'Mylène Dinh-Robic']","['Doug Liman', 'Christopher Ford', 'Patrick Ness']","['3 Arts Entertainment', 'Allison Shearmur Productions', 'BRON Studios']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['wilderness', 'based on young adult novel', 'mind reading', 'interplanetary', 'alien creature']",['English'],"['United States', 'Canada', 'Hong Kong', 'Luxembourg']",2021-03-12,109,26456630,5.8,37000,['PG-13'],2021,3,12,16.5,0,14909,3,1,3,379,0,0,5,1,0,4
The Pick-up Artist,93737,15000000,"['Molly Ringwald', 'Robert Downey Jr.', 'Dennis Hopper', 'Danny Aiello', 'Mildred Dunnock', 'Harvey Keitel', 'Brian Hamill', 'Tamara Bruno', 'Vanessa Williams', 'Angie Kempf', 'Polly Draper', 'Frederick Koehler', 'Robert Towne', 'Victoria Jackson', 'Lorraine Bracco', 'Bob Gunton', 'Clem Caserta', 'John Butera']",['James Toback'],"['Amercent Films', 'American Entertainment Partners L.P.', 'Twentieth Century Fox']","['Comedy', 'Crime', 'Drama', 'Romance']","['bare chested male', 'written by director', 'cabriolet', 'mafia', 'museum employee']",['English'],['United States'],1987-09-18,81,13290368,5.3,7000,['PG-13'],1987,9,18,6.5,0,6900,0,0,3,441,1,0,4,1,13,4
Lord of Illusions,113690,12000000,"['Scott Bakula', ""Kevin J. O'Connor"", 'J. Trevor Edmond', 'Daniel von Bargen', 'Joseph Latimore', 'Sheila Tousey', 'Susan Traylor', 'Ashley Tesoro', 'Michael Angelo Stuno', 'Keith Brunsmann', 'Barbara Patrick', 'Wayne Grace', 'Mikey LeBeau', 'Robb Humphreys', 'Jimmy Shaw', 'Johnny Venokur', 'Jordan Marder', 'Barry Del Sherman']",['Clive Barker'],"['Seraphim Films', 'Propaganda Films']","['Horror', 'Mystery', 'Thriller']","['private detective', 'neo noir', 'telekinesis', 'investigation', 'violence']",['English'],"['United States', 'United Kingdom']",1995-08-25,109,13294422,6.1,17000,['R'],1995,8,25,11.333333333333334,0,2838,0,0,2,208,0,0,7,1,99,1
The Tree of Life,478304,32000000,"['Brad Pitt', 'Sean Penn', 'Jessica Chastain', 'Hunter McCracken', 'Laramie Eppler', 'Tye Sheridan', 'Fiona Shaw', 'Jessica Fuselier', 'Nicolas Gonda', 'Will Wallace', 'Kelly Koonce', 'Bryce Boudoin', 'Jimmy Donaldson', 'Kameron Vaughn', 'Cole Cockburn', 'Dustin Allen', 'Brayden Whisenhunt', 'Joanna Going']",['Terrence Malick'],"['Cottonwood Pictures', 'River Road Entertainment', 'Fox Searchlight Pictures']","['Drama', 'Fantasy']","['childhood', 'strict father', 'waco texas', '1950s', 'death']",['English'],['United States'],2011-05-17,139,58409247,6.8,173000,['PG-13'],2011,5,17,9.5,1,8813,0,0,3,414,0,0,4,1,120,4
De-Lovely,352277,15000000,"['Kevin Kline', 'Ashley Judd', 'Jonathan Pryce', 'Kevin McNally', 'Sandra Nelson', 'Allan Corduner', 'Peter Polycarpou', 'Keith Allen', 'James Wilby', 'Kevin McKidd', 'Richard Dillane', 'Edward Baker-Duly', 'Angie Hill', 'Harry Ditson', 'Tayler Hamilton', 'Lexie Peel', 'Greg Sheffield', 'Peter Jessop']","['Irwin Winkler', 'Jay Cocks']","['Metro-Goldwyn-Mayer (MGM)', 'Potboiler Productions', 'Winkler Films']","['Biography', 'Drama', 'Music', 'Musical']","['jukebox musical', 'horseback riding', 'cole porter character', 'monty woolley character', 'louis b. mayer character']","['English', 'French', 'Italian']","['United Kingdom', 'United States']",2004-08-06,125,18611951,6.6,11000,['PG-13'],2004,8,6,6.25,0,12702,0,0,3,537,0,0,7,5,0,4
The Comebacks,790804,20000000,"['David Koechner', ""Robert Ri'chard"", 'Carl Weathers', 'Melora Hardin', 'Matthew Lawrence', 'Brooke Nevin', 'Nick Searcy', 'George Back', 'Noureen DeWulf', 'Jesse Garcia', 'Jackie Long', 'Martin Spanjers', 'Jermaine Williams', 'Finesse Mitchell', 'Will Arnett', 'Dax Shepard', 'Bradley Cooper', 'Jon Gries']","['Joey Gutierrez', 'Ed Yeager', 'Tom Brady', 'John Aboud']","['Fox Atomic', 'Tapestry Films']","['Comedy', 'Sport']","['satirical', 'parody', 'satire', 'coach', 'football']",['English'],['United States'],2007-10-19,107,13539154,4.3,12000,"['R', 'PG-13']",2007,10,19,9.5,0,12255,0,0,2,208,0,0,4,1,80,4
The Haunting of Molly Hartley,1045655,5000000,"['Haley Bennett', 'Chace Crawford', 'Jake Weber', 'Shannon Woodward', 'Shanna Collins', 'AnnaLynne McCord', 'Marin Hinkle', 'Nina Siemaszko', 'Josh Stewart', 'Jessica Lowndes', 'Randy Wayne', 'Jamie McShane', 'Ron Canada', 'Kevin Cooney', 'Ross Thomas', 'Charles Rahi Chun', 'John Newton', 'Pete Shilaimon']","['John Travis', 'Rebecca Sonnenshine', 'Mickey Liddell']","['Huntington Prep', 'LD Entertainment']","['Drama', 'Horror', 'Thriller']","['teenager', 'resurrection', '18th birthday', 'looking at oneself in a mirror', 'supernatural horror']",['English'],['United States'],2008-10-31,85,15418749,3.9,9700,['PG-13'],2008,10,31,8.333333333333334,0,11995,0,0,2,252,0,0,4,1,97,4
Labor Day,1967545,18000000,"['Kate Winslet', 'Josh Brolin', 'Gattlin Griffith', 'Clark Gregg', 'Tobey Maguire', 'Tom Lipinski', 'Maika Monroe', 'James Van Der Beek', 'J.K. Simmons', 'Brooke Smith', 'Brighid Fleming', 'Alexie Gilmore', 'Lucas Hedges', 'Micah Fowler', 'Chandra Thomas', 'Matthew Rauch', 'Doug Trapp', 'Kate Geller']","['Jason Reitman', 'Joyce Maynard']","['Indian Paintbrush', 'Mr. Mudd', 'Right of Way Films']","['Drama', 'Romance', 'Thriller']","['tied to a chair', 'escaped convict', 'neighbor', 'baseball', 'boy in a wheelchair']",['English'],['United States'],2014-01-31,111,20275812,6.9,45000,['PG-13'],2014,1,31,7.333333333333333,0,14156,0,0,3,132,0,0,4,1,25,4
Mr. Saturday Night,104928,43000000,"['Billy Crystal', 'David Paymer', 'Julie Warner', 'Helen Hunt', 'Mary Mara', 'Jerry Orbach', 'Ron Silver', 'Sage Allen', 'Jason Marsden', 'Michael Weiner', 'Larry Gelman', 'Kay Freeman', 'Howard Mann', 'Julius Branca', 'Liz Georges', 'Bill Wendell', 'Hartley Haverty', 'Will Jordan']","['Babaloo Mandel', 'Lowell Ganz', 'Billy Crystal']","['Castle Rock Entertainment', 'Face Productions', 'New Line Cinema']","['Comedy', 'Drama']","['columbia tristar', 'columbia tristar home video', 'written and directed by cast member', 'new york city', 'talent agent']",['English'],['United States'],1992-09-25,119,13351357,5.9,5900,['R'],1992,9,25,6.5,0,6262,0,0,3,564,0,0,4,1,90,1
Friends with Money,436331,6500000,"['Jennifer Aniston', 'Frances McDormand', 'Catherine Keener', 'Joan Cusack', 'Jason Isaacs', 'Timm Sharp', 'Greg Germann', 'Hailey Noelle Johnson', 'Simon McBurney', 'Jake Cherry', 'Bob Stephenson', 'Marin Hinkle', 'Scott Caan', 'Troy Ruptash', 'Elizabeth Keener', 'John Srednicki', 'Mitch Rouse', 'Christine Mourad']",['Nicole Holofcener'],['This Is That Productions'],"['Comedy', 'Drama', 'Romance']","['money problems', 'marital problem', 'nervous breakdown', 'friendship', 'three word title']","['English', 'Spanish']",['United States'],2006-04-21,88,18245244,5.8,29000,['R'],2006,4,21,6.666666666666667,0,20052,0,0,1,29,0,0,4,4,126,1
Bullets Over Broadway,109348,20000000,"['John Cusack', 'Dianne Wiest', 'Jennifer Tilly', 'Chazz Palminteri', 'Mary-Louise Parker', 'Jack Warden', 'Joe Viterelli', 'Rob Reiner', 'Tracey Ullman', 'Jim Broadbent', 'Harvey Fierstein', 'Stacey Nelkin', 'Malgorzata Zajaczkowska', 'Charles Cragin', 'Nina von Arx', 'Edie Falco', 'Hope W. Sacharoff', 'Debi Mazar']","['Douglas McGrath', 'Woody Allen']","['Miramax', 'Sweetland Films', 'Magnolia Productions']","['Comedy', 'Crime']","['reference to breast feeding', 'actress', 'playwright', 'play', 'bodyguard']",['English'],['United States'],1995-02-24,98,13383747,7.4,38000,['R'],1995,2,24,8.0,0,15454,0,0,3,427,0,0,4,1,0,1
One Night with the King,430431,20000000,"['Tiffany Dupont', 'Luke Goss', 'John Noble', 'Omar Sharif', 'John Rhys-Davies', 'Tom Lister Jr.', 'James Callis', ""Peter O'Toole"", 'Javen Campbell', 'Jyoti Dogra', 'Indraneel Bhattacharya', 'Jonah Lotan', 'Dilshad Patel', 'Nimrat Kaur', 'Takesh Singh', 'Denzil Smith', 'Tom Alter', 'Asif Basra']","['Tommy Tenney', 'Stephan Blinn', 'Michael O. Sajbel', 'Mark Andrew Olsen']",['Gener8Xion Entertainment'],"['Biography', 'Drama', 'History']","['biblical', 'persia', 'esther', 'book of esther', 'treachery']",['English'],['United States'],2006-10-13,123,13728450,6.1,7100,['PG'],2006,10,13,2.6666666666666665,0,4576,0,0,1,140,0,0,4,1,0,2
Alfie,375173,60000000,"['Jude Law', 'Sienna Miller', 'Susan Sarandon', 'Renée Taylor', 'Jane Krakowski', 'Jeff Harding', 'Marisa Tomei', 'Kevin Rahm', 'Max Morris', 'Omar Epps', 'Nia Long', 'Gedde Watanabe', 'Jo Yang', 'Tara Summers', 'Sam Vincenti', 'Katherine LaNasa', 'Claudette Mink', 'Anouska De Georgiou']","['Elaine Pope', 'Charles Shyer', 'Bill Naughton']","['Paramount Pictures', 'Patalex Productions']","['Comedy', 'Drama', 'Romance']","['womanizer', 'abused woman', 'one night stand', 'limousine driver', 'single mother']",['English'],"['United Kingdom', 'United States']",2005-04-14,103,35060882,6.2,52000,['R'],2005,4,14,6.666666666666667,0,11261,0,0,2,449,1,0,7,1,117,1
A Kid in King Arthur&apos;s Court,113538,15000000,"['Thomas Ian Nicholas', 'Joss Ackland', 'Art Malik', 'Paloma Baeza', 'Kate Winslet', 'Daniel Craig', 'David Tysall', 'Ron Moody', 'Barry Stanton', 'Michael Mehlmann', 'Melanie Oettinger', 'Rebecca Denton', 'Michael Kelly', 'Louise Rosner', 'Paul Rosner', 'Béla Unger', 'Shane Rimmer', 'Tim Wickham']","['Michael Part', 'Michael Gottlieb', 'Robert L. Levy']","['Tapestry Films', 'Trimark Pictures', 'Walt Disney Pictures']","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']","['sword and sandal', 'sword and sorcery', 'kicked in the groin', 'comic violence', 'laser']",['English'],"['United States', 'Hungary', 'United Kingdom']",1995-08-11,89,13406717,4.8,6100,['PG'],1995,8,11,14.2,0,9298,0,0,3,657,1,1,7,1,0,2
Secrets &amp; Lies,117589,4500000,"['Timothy Spall', 'Brenda Blethyn', 'Phyllis Logan', 'Claire Rushbrook', 'Marianne Jean-Baptiste', 'Elizabeth Berrington', 'Michele Austin', 'Lee Ross', 'Lesley Manville', 'Ron Cook', 'Emma Amos', 'Brian Bovell', 'Trevor Laird', 'Clare Perkins', 'Elias Perkins McCook', 'Jane Mitchell', 'Janice Acquah', 'Keylee Jade Flanders']",['Mike Leigh'],"['Channel Four Films', 'CiBy 2000', 'Thin Man Films']","['Comedy', 'Drama']","['biological mother', 'mother daughter relationship', 'birthday party', 'search for birth mother', 'family secret']",['English'],"['United Kingdom', 'France']",1996-05-24,136,13417292,8.0,42000,['R'],1996,5,24,6.5,1,8995,0,0,3,240,0,0,7,1,98,1
Crank: High Voltage,1121931,20000000,"['Jason Statham', 'Amy Smart', 'Clifton Collins Jr.', 'Dwight Yoakam', 'Efren Ramirez', 'Julanne Chidi Hill', 'Jose Pablo Cantillo', 'Reno Wilson', 'Keone Young', 'Art Hsu', 'Joseph Julian Soria', 'Bai Ling', 'David Carradine', 'Corey Haim', 'Geri Horner', 'William Brent', 'Jamie Harris', 'John de Lancie']","['Mark Neveldine', 'Brian Taylor']","['Lionsgate', 'Lakeshore Entertainment', 'RadicalMedia']","['Action', 'Crime', 'Thriller']","['pixelated nudity', 'voyeur', 'voyeurism', 'stripper', 'prostitute']",['English'],['United States'],2009-04-17,96,34572541,6.2,146000,['R'],2009,4,17,11.333333333333334,0,14097,0,0,3,506,0,0,4,1,121,1
Poms,5125894,10000000,"['Diane Keaton', 'Jacki Weaver', 'Celia Weston', 'Alisha Boe', 'Charlie Tahan', 'Rhea Perlman', 'Phyllis Somerville', 'Pam Grier', 'Patricia French', 'Ginny MacColl', 'Carol Sutton', 'Bruce McGill', 'Alexandra Ficken', 'David Maldonado', 'Karen Beyer', 'Sharon Blackwood', 'Afemo Omilami', 'Frank Hoyt Taylor']","['Shane Atkinson', 'Zara Hayes']","['Entertainment One', 'Mad As Birds', 'Rose Pictures']","['Comedy', 'Drama', 'Sport']","['cheer squad', 'one word title', 'youtube video', 'title directed by female', 'female friendship']",['English'],"['United Kingdom', 'United States']",2019-05-10,90,16418218,6.1,5800,['PG-13'],2019,5,10,7.333333333333333,1,7356,0,0,3,451,0,0,7,1,16,4
Burnt,2503944,20000000,"['Bradley Cooper', 'Sienna Miller', 'Daniel Brühl', 'Riccardo Scamarcio', 'Omar Sy', 'Sam Keeley', 'Henry Goodman', 'Matthew Rhys', 'Stephen Campbell Moore', 'Emma Thompson', 'Uma Thurman', 'Lexie Benbow-Hart', 'Alicia Vikander', 'Lily James', 'Sarah Greene', 'Bo Bene', 'Elisa Lasowski', 'Julian Firth']","['Steven Knight', 'Michael Kalesniko', 'John Wells']","['3 Arts Entertainment', 'Double Feature Films', 'PeaPie Films']","['Comedy', 'Drama']","['chef', 'restaurant', 'michelin star', 'waste of food', 'cook']","['English', 'French', 'Italian']","['United States', 'United Kingdom']",2015-10-30,101,36606743,6.6,112000,['R'],2015,10,30,6.5,0,18958,1,0,3,457,0,0,7,5,0,1
Dredd,1343727,50000000,"['Karl Urban', 'Olivia Thirlby', 'Lena Headey', 'Rachel Wood', 'Andile Mngadi', 'Porteus Xandau', 'Jason Cope', 'Emma Breschi', 'Rakie Ayola', 'Tamer Burjaq', 'Warrick Grier', 'Wood Harris', 'Shoki Mokgapa', 'Yohan Chun', 'Eden Knowles', 'Desmond Lai Lan', 'Deobia Oparei', 'Patrick Lyster']","['Alex Garland', 'Pete Travis', 'John Wagner', 'Carlos Ezquerra']","['DNA Films', 'Peach Trees', 'Rena Films']","['Action', 'Crime', 'Sci-Fi']","['post apocalypse', 'cyberpunk', 'dystopia', 'based on comic', 'drugs']",['English'],"['United Kingdom', 'South Africa']",2012-09-07,95,41037742,7.1,266000,['R'],2012,9,7,12.0,0,9615,0,0,3,471,0,0,7,1,150,1
Crooklyn,109504,14000000,"['Alfre Woodard', 'Delroy Lindo', 'David Patrick Kelly', 'Zelda Harris', 'Carlton Williams', 'Sharif Rashed', 'Tse-Mach Washington', 'Christopher Knowings', 'José Zúñiga', 'Isaiah Washington', 'Ivelka Reyes', 'Spike Lee', 'N. Jeremi Duru', 'Frances Foster', 'Norman Matlock', 'Patriece Nelson', 'Vondie Curtis-Hall', 'Tiasha Reyes']","['Spike Lee', 'Cinqué Lee', 'Joie Lee']","['Universal Pictures', '40 Acres & A Mule Filmworks', 'Child Hood Productions']","['Comedy', 'Drama']","['semi autobiographical', 'bully', 'argument', 'birthday', 'visit']","['English', 'Italian', 'Spanish']",['United States'],1994-05-13,115,13642861,7.0,10000,['PG-13'],1994,5,13,6.5,1,7826,0,0,3,469,1,0,4,5,0,4
Warrior,1291584,25000000,"['Tom Hardy', 'Nick Nolte', 'Joel Edgerton', 'Jennifer Morrison', 'Frank Grillo', 'Kevin Dunn', 'Maximiliano Hernández', 'Bryan Callen', 'Sam Sheridan', 'Fernando Chien', 'Jake McLaughlin', 'Vanessa Martinez', 'Denzel Whitaker', 'Carlos Miranda', 'Nick Lehane', 'Laura Chinn', 'Capri Thomas', 'Lexi Cowan']","['Cliff Dorfman', 'Anthony Tambakis', ""Gavin O'Connor""]","['Lionsgate', 'Mimran Schur Pictures', 'Solaris']","['Action', 'Drama', 'Sport']","['tournament', 'father son relationship', 'martial arts tournament', 'mixed martial arts', 'brother brother relationship']","['English', 'Spanish']",['United States'],2011-09-09,140,23308615,8.1,454000,['PG-13'],2011,9,9,9.0,0,17289,0,0,3,350,0,0,4,4,116,4
